price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed,vehicle_age
11950,2008,chevrolet silverado,good,8.0,gas,170000.0,automatic,truck,black,1,2019-03-13,38,12
4826,2000,gmc yukon,like new,8.0,gas,226111.0,automatic,SUV,grey,1,2018-06-30,14,19
9599,2011,chevrolet camaro,good,6.0,gas,100680.0,manual,coupe,silver,0,2018-10-26,18,8
8499,2009,bmw x5,good,,gas,104482.0,automatic,SUV,blue,1,2019-03-04,52,11
18800,2015,chevrolet camaro lt coupe 2d,good,6.0,gas,33926.0,other,coupe,grey,0,2019-01-16,152,5
18000,2010,ram 1500,good,8.0,gas,50500.0,automatic,truck,white,1,2018-06-16,11,9
2800,2010,chevrolet colorado,good,5.0,gas,200800.0,automatic,pickup,,0,2018-07-24,10,9
2950,2003,chevrolet silverado,good,8.0,gas,230000.0,automatic,pickup,,0,2018-05-06,24,16
32000,2017,honda pilot,like new,6.0,gas,32104.0,automatic,SUV,white,0,2018-07-12,100,2
8995,2012,toyota rav4,excellent,4.0,gas,124526.0,automatic,SUV,black,1,2018-12-14,24,7
9995,2017,hyundai sonata,excellent,4.0,gas,105985.0,automatic,sedan,white,0,2018-05-02,18,2
24600,2013,ford mustang gt coupe 2d,good,8.0,gas,22474.0,other,coupe,white,0,2018-10-28,22,6
6500,2012,ford fusion se,excellent,6.0,gas,90000.0,automatic,sedan,grey,0,2018-09-20,94,7
3995,2008,subaru forester,excellent,4.0,gas,165000.0,automatic,SUV,white,1,2018-12-24,19,11
26000,2015,chevrolet silverado 1500 crew,good,8.0,gas,92281.0,automatic,pickup,white,1,2019-04-02,82,5
18700,2017,nissan frontier crew cab sv,good,6.0,gas,40002.0,other,pickup,white,0,2018-06-01,44,2
5500,2004,ford explorer,good,6.0,gas,140355.0,automatic,SUV,white,1,2018-09-10,35,15
22900,2014,ford f150 supercrew cab xlt,good,6.0,gas,73711.0,automatic,pickup,white,1,2019-02-27,141,6
26700,2015,ford f150 supercrew cab xlt,good,6.0,gas,48278.0,other,pickup,brown,1,2018-09-22,64,4
21500,2019,nissan frontier crew cab sv,good,6.0,gas,16168.0,other,pickup,white,0,2019-03-29,70,1
19700,2017,chevrolet camaro lt coupe 2d,good,6.0,gas,35807.0,other,coupe,black,0,2019-03-11,33,3
